"NOME_URNA_CANDIDATO","CODIGO_CARGO","SIGLA_UE","NUMERO_CANDIDATO","NUM_TURNO","ANO_ELEICAO"
"DR CLERISTON MOURA",11,"10693",22,1,2020
"SERGIO LUCIVEL",11,"96539",28,1,2020
"GILSON ROCHA",11,"72095",77,1,2020
"DR AQUILES",11,"49573",70,1,2020
"PAULO MARIANO",11,"35653",11,1,2020
"DR OMAR",11,"91235",17,1,2020
"CRISTIANO QUINTINO",11,"95710",70,1,2020
"JOAO CAMELO",11,"23221",40,1,2020
"WILSINHO",11,"23337",14,1,2020
"EDINHO",11,"20176",23,1,2020
"YULA MEROLA",11,"50350",23,1,2020
"ALLAN SILVA",11,"93238",23,1,2020
"OSVALDO BONFIM",11,"12726",13,1,2020
"REVELINO ALMEIDA PRETINHO",11,"63770",25,1,2020
"GILTAO",11,"96857",43,1,2020
"DRA CRISTINA",11,"93734",22,1,2020
"GANDOR HAGE",11,"05193",45,1,2020
"OLIMPIO ROCHA",11,"19810",50,1,2020
"ANTONIO SANTOS",11,"58467",65,1,2020
"VICENTE CASCIONE",11,"70718",90,1,2020
"NARCIZIO NAZA",11,"47430",55,1,2020
"DAVID ALMEIDA",11,"02550",70,1,2020
"AROLDIN",11,"10251",13,1,2020
"DR ANTONIO",11,"96253",25,1,2020
"PROFESSORA CRISTINA",11,"63436",55,1,2020
"RICARDO WATANABE",11,"66796",43,1,2020
"IVANARIA SAMPAIO",11,"10731",15,1,2020
"ZEIMAR TEIXEIRA",11,"09296",77,1,2020
"REINALDO PITI",11,"90417",45,1,2020
"VANDERLAN CARDOSO",11,"93734",55,1,2020
"SAUL MACIEL",11,"15474",12,1,2020
"HENRIQUE WOLF",11,"49190",17,1,2020
"ZUCA",11,"40487",13,1,2020
"GERSON BENEDITO",11,"26077",35,1,2020
"PABLO HONORATO NASCIMENTO",11,"20516",50,1,2020
"PAULO BARRUDADA",11,"05355",17,1,2020
"DR HERALDO",11,"33510",11,1,2020
"ALUIZIO MELO",11,"08036",50,1,2020
"FALCAO",11,"49590",19,1,2020
"DR FRANCISCO MACEDO",11,"19372",65,1,2020
"EDUARDO MOTTA",11,"16713",45,1,2020
"FABRICIO ZUMBI",11,"56235",12,1,2020
"BRUNO REIS",11,"38490",25,1,2020
"HUMBERTO DOMINGUES BOLINHA",11,"90832",45,1,2020
"TAKA",11,"05894",15,1,2020
"JORDAO",11,"98779",25,1,2020
"EZEQUIEL PT",11,"23574",13,1,2020
"ARISTEU",11,"10766",15,1,2020
"LEONARDO ALMEIDA",11,"92002",15,1,2020
"JONAS SINDICATO",11,"18333",77,1,2020
"MOACIR",11,"83232",15,1,2020
"LEONALDO PARANHOS",11,"74934",20,1,2020
"PROFESSOR ROBSON SANCHES",11,"67954",51,1,2020
"TUXAUA BENISIO",11,"03107",18,1,2020
"FIDEL",11,"33430",11,1,2020
"ARQUIMEDES VALENCA",11,"23558",15,1,2020
"ELIAS",11,"23574",15,1,2020
"DON",11,"02410",45,1,2020
"FIDELES GEOVALDO PIRES",11,"91057",12,1,2020
"GEAN",11,"81051",25,1,2020
"MAO SANTA",11,"11533",25,1,2020
"BELAUTO BIGODE",11,"10057",13,1,2020
"IZAILTON",11,"04863",55,1,2020
"ROBSON SORVETERIA",11,"91758",15,1,2020
"GUSTAVO",11,"68691",45,1,2020
"LEANDRO PEREIRA",11,"03085",77,1,2020
"DEO",11,"27715",14,1,2020
"EVANDRO VALADARES",11,"25712",40,1,2020
"GESIEL REBELO",11,"81132",51,1,2020
"RAFAELL MELO",11,"93076",11,1,2020
"GLAUCIA NUNES",11,"39144",13,1,2020
"VANDO MAGNUSSON",11,"63452",45,1,2020
"ROBERTO RODRIGUES",11,"47996",14,1,2020
